Odometry X (Mirror line is 14.416121085686397),Odometry Y,Launcher speed (RPM),Launcher angle (degrees)
15.09168816,5.542706763,3560,59.2
14.78555132,5.547281643,3600,54.1
14.15510591,5.646183256,4300,45.1
13.60403794,5.551537765,4980,35.85
12.61115556,5.400385394,5530,23.25
11.2309524,6.210100763,4500,23.25
15.97014558,6.514427714,3300,57.1
15.97014558,4.148696897,3300,57.1
15.41639615,5.888130097,3300,55.45
15.41639615,4.774994515,3300,55.45
14.64279474,6.933005401,4140,43
14.64279474,3.73011921,4140,43
14.32163299,4.129386067,4420,39.25
14.32163299,6.533738544,4420,39.25
14.87465771,4.692244089,4180,47.65
14.87465771,5.970880522,4180,47.65
15.2098967,4.042410231,5080,47.05
15.2098967,6.62071438,5080,47.05
13.9876737,3.208338606,5080,33.7
13.9876737,7.454786005,5080,33.7
12.59474205,4.55028381,5080,21.55
12.59474205,6.112840802,5080,21.55
13.92186224,5.132175445,4780,36.1